x rho vx vy vz p Bx By Bz E
2.441406250000000000e-04 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.865596673175631331e-181 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -6.595880292807762401e-182 8.812499999999998668e-01
7.324218750000000000e-04 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.156717175210483431e-181 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -2.176728232219510077e-181 8.812499999999998668e-01
1.220703125000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -4.079758953865604582e-181 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.442412610942451164e-181 8.812499999999998668e-01
1.708984375000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.769702469901282941e-180 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 9.792376991681633119e-181 8.812499999999998668e-01
2.197265625000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.034754129831021924e-179 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 3.658408310321507365e-180 8.812499999999998668e-01
2.685546875000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.140780581309063992e-179 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 4.033268424447854774e-180 8.812499999999998668e-01
3.173828125000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -3.363003939372166962e-179 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.189001445343566852e-179 8.812499999999998668e-01
3.662109375000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.663937254539927132e-178 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -5.882906580770544696e-179 8.812499999999998668e-01
4.150390625000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.532842477286200813e-178 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -8.954950456832039879e-179 8.812499999999998668e-01
4.638671875000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.417814523674480878e-178 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.208379913264048746e-178 8.812499999999998668e-01
5.126953125000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.554990702749014870e-177 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 9.033256258912052410e-178 8.812499999999998668e-01
5.615234375000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.999403717590441333e-177 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.767556135298719226e-177 8.812499999999998668e-01
6.103515625000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.087502017533479763e-177 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -7.380434161692623111e-178 8.812499999999998668e-01
6.591796875000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -3.728005887962923104e-176 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.318049121840979994e-176 8.812499999999998668e-01
7.080078125000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.124636793081219629e-176 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -3.226046276126002635e-176 8.812499999999998668e-01
7.568359375000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.152268261125677985e-176 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -7.609417411872721996e-177 8.812499999999998668e-01
8.056640625000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.115742673770800636e-175 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.808688167714367126e-175 8.812499999999998668e-01
8.544921875000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.566527595533631764e-174 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 5.538511428588442700e-175 8.812499999999998668e-01
9.033203125000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.185542090079312654e-174 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 4.191524256385775107e-175 8.812499999999998668e-01
9.521484375000000000e-03 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.465909410444588716e-174 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -2.286044195331640582e-174 8.812499999999998668e-01
1.000976562500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -2.548963407330811167e-173 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -9.011946551599922699e-174 8.812499999999998668e-01
1.049804687500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -3.103401558530825610e-173 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -1.097218143391024083e-173 8.812499999999998668e-01
1.098632812500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.181701293883031300e-173 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 2.539114842680448503e-173 8.812499999999998668e-01
1.147460937500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.938732458501306715e-172 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 1.392552215342918721e-172 8.812499999999998668e-01
1.196289062500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.559611248801841169e-172 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 2.319172797987669474e-172 8.812499999999998668e-01
1.245117187500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.080437563223527883e-172 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -2.149759316768384062e-172 8.812499999999998668e-01
1.293945312500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.765060746199592363e-171 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -2.038256773795055250e-171 8.812499999999998668e-01
1.342773437500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.236317473276907877e-170 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 -4.371042345267601843e-171 8.812499999999998668e-01
1.391601562500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.056083727353016229e-171 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 3.733819825560425700e-172 8.812499999999998668e-01
1.440429687500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.928820292955987574e-170 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 2.803261297979345464e-170 8.812499999999998668e-01
1.489257812500000000e-02 1.250000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.152339762689479037e-169 9.999999999999986677e-02 7.500000000000000000e-01 -1.000000000000000000e+00 7.609670208075875762e-170 8.812499999999998668e-01
