x rho vx vy vz p Bx By Bz E
2.441406250000000000e-04 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
7.324218750000000000e-04 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.220703125000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.708984375000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
2.197265625000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
2.685546875000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
3.173828125000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
3.662109375000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
4.150390625000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
4.638671875000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
5.126953125000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
5.615234375000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
6.103515625000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
6.591796875000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
7.080078125000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
7.568359375000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
8.056640625000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
8.544921875000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
9.033203125000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
9.521484375000000000e-03 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.000976562500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
1.049804687500000000e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 5.641895835477562793e-01 1.128379167095512559e+00 5.641895835477562793e-01 2.454929658551370686e+00
