x rho vx vy vz p Bx By Bz E
2.441406250000000000e-04 1.250000000000000000e-01 9.164930530373161098e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
7.324218750000000000e-04 1.250000000000000000e-01 6.326462055113766444e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
1.220703125000000000e-03 1.250000000000000000e-01 4.220723555605258984e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
1.708984375000000000e-03 1.250000000000000000e-01 4.170562427385170277e-17 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.197265625000000000e-03 1.250000000000000000e-01 -5.522356603891271071e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
2.685546875000000000e-03 1.250000000000000000e-01 -6.964718744049155903e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
3.173828125000000000e-03 1.250000000000000000e-01 -7.691162829358334632e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
3.662109375000000000e-03 1.250000000000000000e-01 -6.757617986347803875e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
4.150390625000000000e-03 1.250000000000000000e-01 -5.414093598320055352e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
4.638671875000000000e-03 1.250000000000000000e-01 -3.196017817327579572e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
5.126953125000000000e-03 1.250000000000000000e-01 -2.998980122154592667e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
5.615234375000000000e-03 1.250000000000000000e-01 -1.785024403238448512e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
6.103515625000000000e-03 1.250000000000000000e-01 -6.532200350081168718e-17 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
6.591796875000000000e-03 1.250000000000000000e-01 -4.671071515103536998e-17 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
7.080078125000000000e-03 1.250000000000000000e-01 5.906661561465768528e-17 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
7.568359375000000000e-03 1.250000000000000000e-01 1.761798616051069302e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
8.056640625000000000e-03 1.250000000000000000e-01 2.253408234175607310e-16 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000555e-01
